city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Oberwil,47.5167,7.5500,Switzerland,CH,Basel-Landschaft,,11136,11136
Brugg,47.4864,8.2067,Switzerland,CH,Aargau,,11129,11129
Plan-les-Ouates,46.1667,6.1167,Switzerland,CH,Genève,,10656,10656
Neuhausen am Rheinfall,47.6833,8.6167,Switzerland,CH,Schaffhausen,,10510,10510
Sarnen,46.8961,8.2456,Switzerland,CH,Obwalden,admin,10368,10368
Aesch,47.4667,7.5833,Switzerland,CH,Basel-Landschaft,,10352,10352
Birsfelden,47.5533,7.6233,Switzerland,CH,Basel-Stadt,,10299,10299
Lutry,46.5000,6.6833,Switzerland,CH,Vaud,,10289,10289
Sursee,47.1667,8.1167,Switzerland,CH,Luzern,minor,9900,9900
Therwil,47.5000,7.5500,Switzerland,CH,Basel-Landschaft,,9867,9867
Urdorf,47.3833,8.4333,Switzerland,CH,Zürich,,9768,9768
Widnau,47.4000,9.6333,Switzerland,CH,Sankt Gallen,,9616,9616
Epalinges,46.5500,6.6667,Switzerland,CH,Vaud,,9611,9611
Rorschach,47.4667,9.5000,Switzerland,CH,Sankt Gallen,minor,9439,9439
Altdorf,46.8667,8.6333,Switzerland,CH,Uri,admin,9401,9401
Goldach,47.4833,9.4667,Switzerland,CH,Sankt Gallen,,9269,9269
Arlesheim,47.4833,7.6167,Switzerland,CH,Basel-Landschaft,,9202,9202
Zuchwil,47.2000,7.5667,Switzerland,CH,Solothurn,,8875,8875
Kilchberg,47.3167,8.5500,Switzerland,CH,Zürich,,8851,8851
Neuenhof,47.4500,8.3167,Switzerland,CH,Aargau,,8824,8824
Lachen,47.1833,8.8500,Switzerland,CH,Schwyz,minor,8754,8754
Fällanden,47.3667,8.6333,Switzerland,CH,Zürich,,8575,8575
Stans,46.9500,8.3500,Switzerland,CH,Nidwalden,admin,8393,8393
Oberentfelden,47.3667,8.0500,Switzerland,CH,Aargau,,8360,8360
Aarburg,47.3167,7.9000,Switzerland,CH,Aargau,,8068,8068
Chiasso,45.8333,9.0333,Switzerland,CH,Ticino,,7975,7975
Buchs,47.3833,8.0833,Switzerland,CH,Aargau,,7966,7966
Crissier,46.5500,6.5833,Switzerland,CH,Vaud,,7930,7930
Au,47.4333,9.6333,Switzerland,CH,Sankt Gallen,,7788,7788
Dietlikon,47.4167,8.6167,Switzerland,CH,Zürich,,7773,7773
Chavannes-près-Renens,46.5333,6.5833,Switzerland,CH,Vaud,,7724,7724
Windisch,47.4833,8.2167,Switzerland,CH,Aargau,,7654,7654
Minusio,46.1833,8.8167,Switzerland,CH,Ticino,,7303,7303
Heimberg,46.7833,7.6000,Switzerland,CH,Bern,,6827,6827
Nidau,47.1333,7.2500,Switzerland,CH,Bern,,6815,6815
Dornach,47.4833,7.6167,Switzerland,CH,Solothurn,,6778,6778
Bottmingen,47.5167,7.5667,Switzerland,CH,Basel-Landschaft,,6691,6691
Oberengstringen,47.4167,8.4667,Switzerland,CH,Zürich,,6569,6569
Frenkendorf,47.5000,7.7167,Switzerland,CH,Basel-Landschaft,,6435,6435
Rolle,46.4500,6.3333,Switzerland,CH,Vaud,,6259,6259
Buchrain,47.1000,8.3500,Switzerland,CH,Luzern,,6235,6235
Massagno,46.0167,8.9500,Switzerland,CH,Ticino,,6227,6227
Uetikon am See,47.2667,8.6833,Switzerland,CH,Zürich,,6145,6145
Glarus,47.0333,9.0667,Switzerland,CH,Glarus,admin,5996,5996
Rüschlikon,47.2833,8.5500,Switzerland,CH,Zürich,,5830,5830
Peseux,46.9833,6.8833,Switzerland,CH,Neuchâtel,,5809,5809
Appenzell,47.3333,9.4167,Switzerland,CH,Appenzell Innerrhoden,admin,5750,5750
Interlaken,46.6833,7.8500,Switzerland,CH,Bern,minor,5610,5610
Cologny,46.2156,6.1808,Switzerland,CH,Genève,,5570,5570
Erlenbach,47.3000,8.5833,Switzerland,CH,Zürich,,5567,5567
Colombier,46.9667,6.8667,Switzerland,CH,Neuchâtel,,5547,5547
Courtepin,46.8667,7.1167,Switzerland,CH,Fribourg,,5451,5451
Greifensee,47.3667,8.6833,Switzerland,CH,Zürich,,5345,5345
Préverenges,46.5167,6.5333,Switzerland,CH,Vaud,,5287,5287
Gerlafingen,47.1667,7.5667,Switzerland,CH,Solothurn,,5202,5202
Schwerzenbach,47.3833,8.6667,Switzerland,CH,Zürich,,5088,5088
Oberrieden,47.2833,8.5833,Switzerland,CH,Zürich,,5083,5083
Geroldswil,47.4167,8.4167,Switzerland,CH,Zürich,,4918,4918
Niederglatt,47.5167,8.5000,Switzerland,CH,Zürich,,4917,4917
Schönenwerd,47.3667,8.0000,Switzerland,CH,Solothurn,,4910,4910
Niederlenz,47.4000,8.1833,Switzerland,CH,Aargau,,4776,4776
Cortaillod,46.9500,6.8500,Switzerland,CH,Neuchâtel,,4729,4729
Saint-Sulpice,46.5167,6.5667,Switzerland,CH,Vaud,,4668,4668
Confignon,46.1667,6.0167,Switzerland,CH,Genève,,4627,4627
Morbio Inferiore,45.8500,9.0167,Switzerland,CH,Ticino,,4575,4575
Caslano,45.9667,8.8833,Switzerland,CH,Ticino,,4356,4356
Gross Höchstetten,46.9000,7.6333,Switzerland,CH,Bern,,4165,4165
Unterentfelden,47.3667,8.0333,Switzerland,CH,Aargau,,4155,4155
Paradiso,45.9833,8.9500,Switzerland,CH,Ticino,,4144,4144
Niederrohrdorf,47.4167,8.3167,Switzerland,CH,Aargau,,4105,4105
Hilterfingen,46.7333,7.6500,Switzerland,CH,Bern,,4044,4044
Hunzenschwil,47.3833,8.1333,Switzerland,CH,Aargau,,4014,4014
Unterengstringen,47.4167,8.4500,Switzerland,CH,Zürich,,3880,3880
Langendorf,47.2167,7.5167,Switzerland,CH,Solothurn,,3781,3781
Belmont-sur-Lausanne,46.5167,6.6833,Switzerland,CH,Vaud,,3721,3721
Widen,47.3667,8.3667,Switzerland,CH,Aargau,,3698,3698
Port,47.1167,7.2500,Switzerland,CH,Bern,,3695,3695
Ennetbaden,47.4833,8.3167,Switzerland,CH,Aargau,,3693,3693
Feuerthalen,47.6833,8.6500,Switzerland,CH,Zürich,,3636,3636
Rheineck,47.4667,9.5833,Switzerland,CH,Sankt Gallen,,3419,3419
Vacallo,45.8500,9.0333,Switzerland,CH,Ticino,,3398,3398
Corsier-sur-Vevey,46.4667,6.8500,Switzerland,CH,Vaud,,3390,3390
Balerna,45.8500,9.0000,Switzerland,CH,Ticino,,3269,3269
Givisiez,46.8167,7.1333,Switzerland,CH,Fribourg,,3166,3166
Coppet,46.3167,6.1917,Switzerland,CH,Vaud,,3152,3152
Turgi,47.5000,8.2500,Switzerland,CH,Aargau,,3014,3014
Coldrerio,45.8500,8.9833,Switzerland,CH,Ticino,,2939,2939
Rickenbach bei Wil,47.4500,9.0500,Switzerland,CH,Sankt Gallen,,2774,2774
Horn,47.5000,9.4667,Switzerland,CH,Sankt Gallen,,2752,2752
Muralto,46.1667,8.8000,Switzerland,CH,Ticino,,2683,2683
Hauterive,47.0167,6.9667,Switzerland,CH,Neuchâtel,,2623,2623
